"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"DELETE","/projects/6448",1,0,129,129,129,129,2,0.01
"DELETE","/projects/6449",1,0,181,181,181,181,2,0.01
"DELETE","/projects/6450",1,0,105,105,105,105,2,0.01
"DELETE","/projects/6451",1,0,66,66,66,66,2,0.01
"DELETE","/projects/6452",1,0,82,82,82,82,2,0.01
"DELETE","/projects/6453",1,0,83,83,83,83,2,0.01
"DELETE","/projects/6454",1,0,150,150,150,150,2,0.01
"DELETE","/projects/6455",1,0,32,32,32,32,2,0.01
"DELETE","/projects/6456",1,0,188,188,188,188,2,0.01
"DELETE","/projects/6457",1,0,83,83,83,83,2,0.01
"DELETE","/projects/6458",1,0,190,190,190,190,2,0.01
"DELETE","/projects/6459",1,0,127,127,127,127,2,0.01
"DELETE","/projects/6460",1,0,652,652,652,652,2,0.01
"DELETE","/projects/6461",1,0,532,532,532,532,2,0.01
"DELETE","/projects/6462",1,0,35,35,35,35,2,0.01
"DELETE","/projects/6463",1,0,243,243,243,243,2,0.01
"DELETE","/projects/6464",1,0,312,312,312,312,2,0.01
"DELETE","/projects/6465",1,0,297,297,297,297,2,0.01
"DELETE","/projects/6466",1,0,270,270,270,270,2,0.01
"DELETE","/projects/6467",1,0,374,374,374,374,2,0.01
"DELETE","/projects/6468",1,0,210,210,210,210,2,0.01
"DELETE","/projects/6469",1,0,121,121,121,121,2,0.01
"DELETE","/projects/6470",1,0,88,88,88,88,2,0.01
"DELETE","/projects/6471",1,0,87,87,87,87,2,0.01
"DELETE","/projects/6472",1,0,99,99,99,99,2,0.01
"DELETE","/projects/6473",1,0,98,98,98,98,2,0.01
"DELETE","/projects/6474",1,0,88,88,88,88,2,0.01
"DELETE","/projects/6475",1,0,88,88,88,88,2,0.01
"DELETE","/projects/6476",1,0,34,34,34,34,2,0.01
"DELETE","/projects/6477",1,0,97,97,97,97,2,0.01
"DELETE","/projects/6478",1,0,146,146,146,146,2,0.01
"DELETE","/projects/6479",1,0,232,232,232,232,2,0.01
"DELETE","/projects/6480",1,0,120,120,120,120,2,0.01
"DELETE","/projects/6481",1,0,133,133,133,133,2,0.01
"DELETE","/projects/6482",1,0,109,109,109,109,2,0.01
"DELETE","/projects/6483",1,0,97,97,97,97,2,0.01
"DELETE","/projects/6484",1,0,76,76,76,76,2,0.01
"DELETE","/projects/6485",1,0,126,126,126,126,2,0.01
"DELETE","/projects/6486",1,0,89,89,89,89,2,0.01
"DELETE","/projects/6487",1,0,118,118,118,118,2,0.01
"DELETE","/projects/6488",1,0,163,163,163,163,2,0.01
"DELETE","/projects/6489",1,0,539,539,539,539,2,0.01
"DELETE","/projects/6490",1,0,532,532,532,532,2,0.01
"DELETE","/projects/6491",1,0,518,518,518,518,2,0.01
"DELETE","/projects/6492",1,0,192,192,192,192,2,0.01
"DELETE","/projects/6493",1,0,276,276,276,276,2,0.01
"DELETE","/projects/6494",1,0,133,133,133,133,2,0.01
"DELETE","/projects/6495",1,0,469,469,469,469,2,0.01
"DELETE","/projects/6496",1,0,368,368,368,368,2,0.01
"DELETE","/projects/6497",1,0,473,473,473,473,2,0.01
"DELETE","/projects/6498",1,0,387,387,387,387,2,0.01
"DELETE","/projects/6499",1,0,199,199,199,199,2,0.01
"DELETE","/projects/6500",1,0,77,77,77,77,2,0.01
"DELETE","/projects/6501",1,0,77,77,77,77,2,0.01
"DELETE","/projects/6502",1,0,82,82,82,82,2,0.01
"DELETE","/projects/6503",1,0,70,70,70,70,2,0.01
"DELETE","/projects/6504",1,0,202,202,202,202,2,0.01
"DELETE","/projects/6505",1,0,211,211,211,211,2,0.01
"DELETE","/projects/6506",1,0,100,100,100,100,2,0.01
"DELETE","/projects/6507",1,0,66,66,66,66,2,0.01
"DELETE","/projects/6508",1,0,190,190,190,190,2,0.01
"DELETE","/projects/6509",1,0,232,232,232,232,2,0.01
"DELETE","/projects/6510",1,0,103,103,103,103,2,0.01
"DELETE","/projects/6511",1,0,175,175,175,175,2,0.01
"DELETE","/projects/6512",1,0,311,311,311,311,2,0.01
"DELETE","/projects/6513",1,0,255,255,255,255,2,0.01
"DELETE","/projects/6514",1,0,88,88,88,88,2,0.01
"DELETE","/projects/6515",1,0,119,119,119,119,2,0.01
"DELETE","/projects/6516",1,0,89,89,89,89,2,0.01
"DELETE","/projects/6517",1,0,120,120,120,120,2,0.01
"DELETE","/projects/6518",1,0,358,358,358,358,2,0.01
"DELETE","/projects/6519",1,0,179,179,179,179,2,0.01
"DELETE","/projects/6520",1,0,296,296,296,296,2,0.01
"DELETE","/projects/6521",1,0,77,77,77,77,2,0.01
"DELETE","/projects/6522",1,0,117,117,117,117,2,0.01
